tweetID,tweetText,retweeted,tweetRetweetCt,tweetFavoriteCt,tweetSource,tweetdate,userID,userScreen,userName,userLocation,userTimezone,Coordinates,Language,TweetPlace,Tweetcountry,countrycode
1498447913491517440,@AnnaDanchyshyn Та як сильно приладами та добривами не озброїшся - завжди щось трапляється. у мене теж саме відбува… https://t.co/UlXRS0WFmW,False,0,0,Twitter Web App,2022-02-28 23:59:57+00:00,460352049,MiriamFishman,"євроджавелінівна фіш, фанатка ЗСУ","Odesa, Ukraine",,,uk,Ukraine,Ukraine,UA
1498447857757691906,#Ukraine #Berdiansk #StopRussia https://t.co/FJjcIG8YDI,False,0,3,Twitter for iPhone,2022-02-28 23:59:43+00:00,1428361523664080903,Alla96460331,"... Life (🇺🇦, 🇺🇦)",Odessa Ukraine,,,und,Ukraine,Ukraine,UA
1498447656405938179,@makalkon буде чим камін топити в дерев'яній халупі,False,0,2,Twitter Web App,2022-02-28 23:58:55+00:00,460352049,MiriamFishman,"євроджавелінівна фіш, фанатка ЗСУ","Odesa, Ukraine",,,uk,Ukraine,Ukraine,UA
1498447604476039173,"Украина – едина. Мне до сих пор нечего добавить к своим словам 8-летней давности.
#ukraine #unitedukraine #history… https://t.co/GaCSJa6gBD",False,0,1,Instagram,2022-02-28 23:58:43+00:00,81470905,atotus,Alex Arkhireyev a.k.a Fox M.,"Ukraine, Odessa",,"{'type': 'Point', 'coordinates': [30.74183991, 46.46908893]}",ru,Ukraine,Ukraine,UA
1498447550944198659,Только что опубликовано фото @ Ukraine https://t.co/sfSbDM35pP,False,0,0,Instagram,2022-02-28 23:58:30+00:00,1247416310,LPaclina,liya_lilina_ya.modnica,Черкассы,,"{'type': 'Point', 'coordinates': [32.0, 49.0]}",ru,Ukraine,Ukraine,UA
1498447519650615301,"@ZvlVitalik @marusiaNadia Їхали кацапи воювати, допоки ср@ти не схотіли, а як всерли несподівано, той злякалися!🤗😂",False,0,4,Twitter for Android,2022-02-28 23:58:23+00:00,1032651448952283137,UWARWGzKfKidqHc,Андрій,Кyiv Ukraine,,,uk,Ukraine,Ukraine,UA
1498447444933103616,Just posted a photo @ Ukraine Україна https://t.co/xsRC5pr9gj,False,0,2,Instagram,2022-02-28 23:58:05+00:00,28073096,SanchaTrindade,Sancha.Co,,,"{'type': 'Point', 'coordinates': [30.52404972, 50.45007168]}",cs,Ukraine,Ukraine,UA
1498447113608433666,this is my favorite video game now https://t.co/5bBDMfwzsN,False,1,3,Twitter for Android,2022-02-28 23:56:46+00:00,217214991,_venus1nfurs_,ilseke in kyiv,,,,en,Ukraine,Ukraine,UA
1498447046898073601,"@AnnaDanchyshyn Це скоріш означає, що вона покривається як раз природніми спорами. вони це з вулиці можуть занестис… https://t.co/EAGvyu7XAs",False,0,0,Twitter Web App,2022-02-28 23:56:30+00:00,460352049,MiriamFishman,"євроджавелінівна фіш, фанатка ЗСУ","Odesa, Ukraine",,,uk,Ukraine,Ukraine,UA
1498446811710775298,Только что опубликовано фото @ Ukraine https://t.co/7NZEPutzpj,False,0,0,Instagram,2022-02-28 23:55:34+00:00,1247416310,LPaclina,liya_lilina_ya.modnica,Черкассы,,"{'type': 'Point', 'coordinates': [32.0, 49.0]}",ru,Ukraine,Ukraine,UA
1498446547339591680,#Ukraine #Kyiv https://t.co/bqFP34Drgr,False,0,2,Twitter for iPhone,2022-02-28 23:54:31+00:00,1428361523664080903,Alla96460331,"... Life (🇺🇦, 🇺🇦)",Odessa Ukraine,,,und,Ukraine,Ukraine,UA
1498446312630591489,"Hello, we ask everyone who is not indifferent to help Ukraine.  Please spread this tweet, the world needs to see th… https://t.co/5Tfa2Ejv7Q",False,0,0,Twitter for Android,2022-02-28 23:53:35+00:00,1485020083009343491,nfts_laboratory,nfts.lab,Україна,,,en,Ukraine,Ukraine,UA
1498446256410173442,"@AnnaDanchyshyn але для них треба ще докупити трохи добрив з цукрами (вони слугують ""їжею"" для цих спор), як цукор… https://t.co/yuM86mBjWa",False,0,0,Twitter Web App,2022-02-28 23:53:21+00:00,460352049,MiriamFishman,"євроджавелінівна фіш, фанатка ЗСУ","Odesa, Ukraine",,,uk,Ukraine,Ukraine,UA
1498446107134898179,#Ukraine #Kharkiv https://t.co/m5r3vDTigV,False,0,7,Twitter for iPhone,2022-02-28 23:52:46+00:00,1428361523664080903,Alla96460331,"... Life (🇺🇦, 🇺🇦)",Odessa Ukraine,,,und,Ukraine,Ukraine,UA
1498446017255157761,Ілон Маск дасть кожному українцю по теслі любої моделі на вибір!!!,False,0,3,Twitter for iPhone,2022-02-28 23:52:24+00:00,619779791,KateLindemann_,Чай На Майдані 🇺🇦,🇮🇱,,,uk,Ukraine,Ukraine,UA
1498445970811625472,https://t.co/txF99k51V2,False,8,31,Twitter for Android,2022-02-28 23:52:13+00:00,21739336,cgtr,Пороблено,Чернігів,,,und,Ukraine,Ukraine,UA
1498445967116361728,"Rusya #Kharkiv'in sivil yerleşim alanlarını grad füzeleriyle vuruyor. Bu bir savaş suçudur!

#rusişgali https://t.co/vKI7OtaoCZ",False,0,0,Twitter for Android,2022-02-28 23:52:12+00:00,229880238,Wurrukatte,Özgür Özcan,Kyiv,,,tr,Ukraine,Ukraine,UA
1498445886002798592,Только что опубликовано фото @ Ukraine https://t.co/sDfeYlj97b,False,0,0,Instagram,2022-02-28 23:51:53+00:00,1247416310,LPaclina,liya_lilina_ya.modnica,Черкассы,,"{'type': 'Point', 'coordinates': [32.0, 49.0]}",ru,Ukraine,Ukraine,UA
1498445831967547392,@Sanchez_6845 @ArchitectureTud Ukraina💙,False,0,1,Twitter Web App,2022-02-28 23:51:40+00:00,1453722485841559556,1648NA33E54,Oleksandr Voloshko,Київ,,,en,Ukraine,Ukraine,UA
1498445724832440325,"@AnnaDanchyshyn є крута штука. називається мікориза. це грибні спори, які продаються в будь-якому магазині для росл… https://t.co/HwLABqziaH",False,0,1,Twitter Web App,2022-02-28 23:51:15+00:00,460352049,MiriamFishman,"євроджавелінівна фіш, фанатка ЗСУ","Odesa, Ukraine",,,uk,Ukraine,Ukraine,UA
1498445668033126407,"Quand la réalité dépasse la fiction,un tel scénario catastrophe était inimaginable jusqu’en2020ensuite2022:La scien… https://t.co/tTTnzEqOZ5",False,0,3,Twitter for iPhone,2022-02-28 23:51:01+00:00,943774182676025344,RodolpheActeur,Rodolphe Harris (Officiel),"Oise, Picardie",,,fr,Ukraine,Ukraine,UA
1498445593580081159,@3x100I @Kaputrusnya Пиздец,False,0,0,Twitter for Android,2022-02-28 23:50:43+00:00,1212371144247889921,lovi___volnu,Лови Волну,Киев,,,ru,Ukraine,Ukraine,UA
1498445548336160768,"- москалику, ти думаєш, що ми будемо тут по щокам ляскати?
- ми за вісім років війни так вигоріли, що будемо тобі г… https://t.co/nzZFna3XUK",False,0,2,Twitter for Android,2022-02-28 23:50:33+00:00,538500024,nobodysuperman,пан ПівНіч❄️який Не впав з тандема ™,село на селі,,,uk,Ukraine,Ukraine,UA
1498444834784358402,"@AnnaDanchyshyn особливо якщо вона була вирощена як клон (з листочка), або якщо насіння в поганих умовах зберігалось перед посадкою",False,0,0,Twitter Web App,2022-02-28 23:47:43+00:00,460352049,MiriamFishman,"євроджавелінівна фіш, фанатка ЗСУ","Odesa, Ukraine",,,uk,Ukraine,Ukraine,UA
1498444822759317505,"I for one don’t Tweet #Politics Just FACTS…

Facts are #Veterans in Every Nation have Fought to #DefendDemocracy an… https://t.co/EuJDdzUzLV",False,4,30,Twitter for iPhone,2022-02-28 23:47:40+00:00,1432118105124360192,SafeMoonVeteran,SafemoonVeteran🇺🇸🌌,"Miami Beach, FL",,,en,Ukraine,Ukraine,UA
