,username,description,location,hashtags,text
0,AnthologyTheatr,Producing and investing in theatre. Part of the @Anthology_Group and advisor to The Cultural Capital Fund.,"London, England",['last2shows'],"Last 2 chances to see @KanYamaKanShow as part of the @RiyadhSeason 
For now it’s our final countdown!…
#last2shows #kanyamakan #riyadhseason #tuesdayvibe https://t.co/KYWxMjc3xq"
1,AnthologyTheatr,Producing and investing in theatre. Part of the @Anthology_Group and advisor to The Cultural Capital Fund.,"London, England",[],"Today is our last performance of @KanYamaKanShow as part of @RiyadhSeason 2022
One last chance to catch the magic of our storytelling and we salute all our wonderful audiences over the last few weeks in Riyadh! #kanyamakan #riyadhseason #theatre #storytelling #lastshow https://t.co/Bg97geeZST"
2,AlkhaldiShaman,"entertainment lover, I share this love with all of you 🎥🎭🤹🏻‍♂️🎪🎟🎞","Riyadh, Kingdom of Saudi Arabi",['RiyadhSeason'],"If you want to see all of Saudi Arabia's cities and attractions, all you have to do is visit Al-Watan Park in Riyadh, which is considered one of the most beautiful gardens in Riyadh.

#RiyadhSeason https://t.co/S2rzV6rQsa"
3,Riyadhm32417378,best massage services in Riyadh full body massage I'm from Ukraine,Riyadh Saudi Arabia ,"['riyadhdating', 'riyadhmassage', 'Riyadhfullservice', 'riyadhvipmassage', 'RiyadhSeason', 'Riyadh_bodymassage', 'riyadhescortservice', 'riyadhcoolmasssage']","https://t.co/A1iiOG4ays
Chart me on what's app
+966562435491 VIP service here in Riyadh full body massage 
#riyadhdating 
#riyadhmassage 
#Riyadhfullservice 
#riyadhvipmassage 
#RiyadhSeason 
#Riyadh_bodymassage 
#riyadhescortservice 
#riyadhcoolmasssage https://t.co/Zkd9GPFprA"
4,jam88142182,#Massage_Riyadh,Riyadh,"['MassagesRiyadh', 'Riyadhfullservice', 'RiyadhSeason', 'riyadhmassage']","0533915943

𝘎𝘖𝘖𝘋 𝘔𝘈𝘚𝘚𝘈𝘎𝘌 !!

#MassagesRiyadh 
#Riyadhfullservice 
#RiyadhSeason #riyadhmassage https://t.co/7th1sHYDSM"
5,miraymano,,"Riyadh, Kingdom of Saudi Arabia","['MIRAYMANO', 'MYM', 'CraftySewing', 'RiyadhOasis', 'RiyadhSeason']","FREE SPIRIT:
Let your imagination run wild in the season’s relaxed reversible short sleeves bisht in warm terracotta color.

Designer – CRAFTY SEWING

Tap the link in our bio to shop #MIRAYMANO

#MYM #CraftySewing #RiyadhOasis #RiyadhSeason https://t.co/4f83Nqi9uQ"
6,massage_ria,,"الرياض, المملكة العربية السعود","['Riyadh', 'RiyadhSeason', 'saudiarabia', 'Saudi', 'تعدد_الزوجات_مطلب_وطني']","Massage in riyadh 
Whatsap https://t.co/Lb7mrYdiaR #Riyadh #RiyadhSeason #saudiarabia #Saudi 
#تعدد_الزوجات_مطلب_وطني https://t.co/TL3Spg2kxv"
7,travelwingsuae,"Official account of Travelwings, a leading online #travel agency in the UAE. Your one-stop travel shop serving 24X7. Get your wings to fly 800-TWINGS (894647)","Dubai, UAE","['ExperienceSaudi', 'VisitSaudi', 'SaudiArabia', 'Travelwings', 'TravelTheWorld', 'TravelDiaries', 'AlUla', 'RiyadhSeason', 'KingdomOfSaudiArabia']","There are treasures &amp; hidden gems in every corner of this kingdom. It's time for you to witness 'em all 😍

#ExperienceSaudi like never before: https://t.co/bGe7nfcWsi

#VisitSaudi #SaudiArabia #Travelwings #TravelTheWorld #TravelDiaries #AlUla #RiyadhSeason #KingdomOfSaudiArabia https://t.co/3thVOKhnp0"
8,massage_lina1,,"الرياض, المملكة العربية السعود","['Riyadh', 'RiyadhSeason', 'الاتحاد_التعاون']","Massage in riyadh 
Whatsap https://t.co/7cACvxPSsJ 
#Riyadh #RiyadhSeason 
#الاتحاد_التعاون https://t.co/nPGUxmtDC0"
9,AlaziqAlzailaie,شركة العزق والزيلعي محاسبون قانونيون متخصصة  في المراجعة  والضرائب والاستشارات والمحاسبة القضائية ونقدم خدماتنا  في جميع مناطق المملكة,"Riyadh, Jeddah, Dammam, Abha","['ihacpa', 'zatca', 'iapa', 'saudivision2030', 'saudiarabia', 'jeddah', 'riyadh', 'riyadhseason', 'socpa', 'tax', 'زاتكا']","Saudi Arabia aims to be among the top 20 countries in the labor market efficiency index by 2030. In the Saudi labor market, the number of Saudis currently exceeds 1.9 million. 

#ihacpa #zatca #iapa #saudivision2030 #saudiarabia #jeddah #riyadh #riyadhseason #socpa #tax #زاتكا"
10,JamJam54671265,Be Yourself 📣 0563673741,Riyadh,"['MassagesRiyadh', 'Riyadhfullservice', 'RiyadhSeason', 'riyadhmassage']","0533915943

𝘎𝘖𝘖𝘋 𝘔𝘈𝘚𝘚𝘈𝘎𝘌 !!

#MassagesRiyadh 
#Riyadhfullservice 
#RiyadhSeason #riyadhmassage https://t.co/7th1sHYDSM"
11,saada186,"#ProudPakistani #LovePakArmy #PMIK @insafianspower1
#PoliticalScience #InternationalAffairs 
#PAKUSTV #Newyork #Islamabad",Islamabad,"['NEWSUPDATE', 'SaudiArabia', 'celebration', 'KINGDOM', 'pakustv', 'NYC', 'FoundingDay', 'KSA', 'RiyadhSeason']","#NEWSUPDATE 

#SaudiArabia prepares to light up in #celebration of #KINGDOM's Founding Day  
#pakustv #NYC #FoundingDay #KSA #RiyadhSeason 
https://t.co/4XgI8D0yx2"
12,AlinaDorathy,Easy going lady like to make friends,"Miami, FL","['Riyadhfullservice', 'riyadhmassage', 'riyadh_massage_vip', 'Riyadh', 'riyadh_Fullbodymassage', 'RiyadhSeason', 'riyadhvipmassage', 'Riyadh_bodymassage']","I'm available for Riyadh body massage and therapist you can chat me on WhatsApp.+4915129738107.
#Riyadhfullservice 
#riyadhmassage 
#riyadh_massage_vip 
#Riyadh 
#riyadh_Fullbodymassage 
#RiyadhSeason 
#riyadhvipmassage 
#Riyadh_bodymassage https://t.co/47b5Jkzyq4"
